ID,이름,레이팅,포지션,국적,국적국기,클럽,이미지,희귀도,설명,PAC,SHO,PAS,DRI,DEF,PHY
kim_young_bin,김영빈,77,CB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/김영빈.png,normal,강력한 대인 방어 능력과 뛰어난 제공권 경합 능력을 자랑하는 중앙 수비수입니다. 안정적인 수비 위치 선정과 탁월한 투지로 전북 현대 최후방 수비진의 중심을 굳건하게 책임집니다.,68,40,62,60,79,78
kang_sang_yoon,강상윤,81,CM,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/강상윤.png,special,넘치는 에너지와 적극적인 활동량을 바탕으로 넓은 중원을 누비는 유망주 미드필더입니다. 뛰어난 기동력과 지치지 않는 체력으로 공수 양면에서 헌신적인 엔진 역할을 수행합니다.,80,73,83,85,75,73
kim_tae_hyeon,김태현,76,RB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/김태현.png,normal,공수 밸런스가 뛰어나고 탄탄한 수비력을 가진 안정감 넘치는 우측 풀백입니다. 다부진 체격 조건을 앞세운 적극적인 수비 가담과 오버래핑 기동성으로 측면에 단단함을 보탭니다.,77,58,70,71,74,75
maeng_seong_ung,맹성웅,76,CM,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/맹성웅.png,normal,침착한 포지셔닝과 깔끔한 대인 태클로 상대 공격을 차단하는 든든한 홀딩 미드필더입니다. 수비 지능이 매우 우수하여 팀 포백 라인을 앞선에서 보호하는 든든한 1차 저지선입니다.,70,60,75,72,80,73
cho_wi_je,조위제,83,CB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/조위제.png,special,압도적인 하드웨어와 빠른 복귀 속도를 지닌 차세대 유망주 대형 센터백입니다. 적극적이고 타이트한 대인 마크와 과감한 공중 경합으로 수비 라인에 피지컬을 더해 줍니다.,83,50,79,75,83,79
choi_woo_jin,최우진,74,LB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/최우진.png,normal,뛰어난 순간 돌파력과 날카로운 크로스 능력을 지닌 다이내믹한 좌측 풀백입니다. 공간을 파고드는 폭발적인 오버래핑 훈련이 매우 뛰어나며 공수 모두 기여도가 높은 유망주입니다.,80,62,71,73,70,66
lee_ju_hyeon,이주현,77,GK,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/이주현.png,normal,안정적인 방어 위치 선정과 놀라운 반사 신경을 보유한 유망주 수문장입니다. 공중볼 낙하지점 판단이 예리하며 골문 구석으로 날아오는 까다로운 슈팅도 과감히 잘 캐칭합니다.,70,68,65,77,77,68
jeon_jin_woo,전진우,80,LW,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/전진우.webp,normal,폭발적인 가속도와 유려한 개인 드리블 기술을 장착한 전북 현대의 다재다능한 공격수입니다. 상대 측면을 허물고 안쪽으로 꺾어 들어오는 과감한 침투와 위협적인 연계 플레이에 강점이 있습니다.,86,80,72,81,38,62
park_ji_soo,박지수,81,CB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/박지수.webp,normal,"대한민국 축구 국가대표팀 출신의 피지컬이 압도적인 철벽 센터백입니다. 빠른 발을 활용한 커버 플레이와 탁월한 대인 방어 능력, 그리고 제공권 장악으로 팀의 최후방을 든든하게 지켜줍니다.",75,48,68,67,82,83
jo_hyeon_woo,조현우,85,GK,South Korea,https://flagcdn.com/w40/kr.png,ULSAN HD,player/조현우.webp,legend,"대한민국의 독보적인 넘버원 거미손 골키퍼입니다. 2018 러시아 월드컵 독일전의 신화를 쓴 주역으로, 믿기지 않는 동물적인 반사신경과 눈부신 공중볼 커버, 그리고 1대1 상황에서의 탁월한 선방 능력으로 골문을 완벽히 통제합니다.",85,83,75,85,85,82
park_ji_sung,박지성,88,CM,South Korea,https://flagcdn.com/w40/kr.png,MANCHESTER UTD,player/박지성.png,legend,대한민국 축구 역사상 가장 위대한 전설적인 멀티 미드필더이자 맨체스터 유나이티드에서 활약했던 영원한 캡틴입니다.,87,80,85,85,82,88
lee_dong_gook,이동국,82,ST,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/이동국.png,normal,"전북 현대의 불멸의 영웅이자 K리그 역대 최고의 스트라이커,",78,84,72,76,38,81
choi_chol_soon,최철순,80,CB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/최철순.png,normal,전북 현대 왕조의 굳건한 기둥이자 팬들의 무한한 사랑을 받는,78,55,68,70,82,82
park_jin_seob,박진섭,81,CB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/박진섭.webp,normal,전북 현대의 핵심 수비형 미드필더이자 멀티 수비수 박진섭입니다. 지능적인 수비 위치 선정과 뛰어난 공중볼 장악력으로 빌드업의 핵심 역할을 수행하며 팀의 든든한 버팀목이 되어 줍니다.,76,65,74,73,81,82
hong_jeong_ho,홍정호,82,CB,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/홍정호.webp,normal,"전북 현대의 든든한 베테랑 중앙 수비수이자 전설적인 리더 홍정호입니다. 탁월한 수비 리딩 능력과 강력한 대인 마크, 침착한 빌드업으로 최후방의 철벽 방어막을 지휘합니다.",74,58,76,72,83,81
ki_sung_yueng,기성용,87,CM,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/기성용.png,legend,"대한민국 축구 역사상 최고의 딥라잉 플레이메이커이자 대표팀의 중원을 지휘했던 영원한 코어 미드필더 기성용입니다. 넓은 시야와 컴퓨터 같은 대지를 가르는 롱패스, 자로 잰 듯한 프리킥 킥력과 탁월한 키핑 능력으로 경기 조율의 마법을 부리는 전설적인 미드필더입니다.",74,81,92,84,76,82
kim_min_jae,김민재,87,CB,South Korea,https://flagcdn.com/w40/kr.png,BAYERN MUNICH,player/김민재.webp,legend,"압도적인 피지컬과 빠른 주력, 탁월한 대인 마크 능력으로 유럽 무대를 정복한 대한민국의 월드클래스 센터백 '괴물' 김민재입니다. 이탈리아 세리에 A 최우수 수비수 수상에 이어 독일 명문 바이에른 뮌헨에서 최강의 철벽 수비를 지휘하는 불멸의 전설입니다.",85,57,80,72,88,87
lee_jae_sung,이재성,85,CM,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/이재성.png,special,"독보적인 활동량과 영리한 축구 지능을 겸비한 국가대표 미드필더입니다. 영리한 오프더볼 움직임과 날카로운 패싱력, 전방 압박 능력을 바탕으로 공수 양면에서 중원의 핵심 활력소 역할을 수행합니다.",82,78,86,84,72,76
cho_gue_sung,조규성,87,ST,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/조규성.png,special,"조각 같은 비주얼과 압도적인 피지컬로 그라운드를 누비는 대한민국 국가대표 스트라이커 조규성입니다. 공중볼 타점 경합과 강력한 슈팅력, 헌신적인 전방 압박으로 매 경기 상대 골문을 직접 위협하는 해결사입니다.",83,89,75,79,45,89
jens_castrop,옌스,85,CM,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/옌스.webp,special,독일 무대에서 다져진 피지컬과 왕성한 활동량으로 대한민국 국가대표팀의 측면과 중원에 에너지를 불어넣는 신성 옌스 카스트로프입니다. 높은 전술적 이해도와 공수 양면에서의 헌신적인 플레이가 돋보입니다.,84,75,81,82,79,83
lee_dong_gyeong,이동경,86,CM,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/이동경.png,special,왼발의 마술사라 불리며 창의적인 패스와 전매특허인 강력하고 정교한 중거리 슈팅을 장착한 특급 공격형 미드필더 이동경입니다. 순간적인 배후 침투와 위협적인 플레이메이킹으로 경기의 흐름을 단숨에 바꾸어 놓습니다.,83,86,87,85,70,73
jeon_byung_kwan,전병관,83,LW,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/전병관.webp,normal,빠른 순간 가속도와 날카로운 드리블로 측면 돌파를 즐기는 전북 현대의 영건 전병관입니다. 왕성한 활동량과 과감한 슈팅으로 매번 상대 골문을 위협하는 에너지 넘치는 공격수입니다.,86,80,76,83,43,70
hwang_in_beom,황인범,86,CM,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/황인범.webp,special,"대한민국 축구 국가대표팀의 든든한 사령탑이자 중원의 마에스트로 황인범입니다. 지치지 않는 왕성한 활동량과 컴퓨터 같은 전진 패스, 그리고 넓은 시야와 지능적인 빌드업으로 대표팀 공수의 핵심 조율사 역할을 수행합니다.",80,78,90,89,75,79
oh_hyeon_gyu,오현규,83,ST,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/오현규.png,special,"강인한 피지컬과 폭발적인 슈팅력, 그리고 끈질긴 전방 압박 능력을 겸비한 대한민국 국가대표 공격수 오현규입니다. 문전에서의 침착함과 적극적인 돌파로 언제든 득점을 터뜨릴 수 있는 해결사입니다.",84,85,70,77,37,85
lee_gi_hyeok,이기혁,83,CB,South Korea,https://flagcdn.com/w40/kr.png,GANGWON,player/이기혁.png,special,"중앙 수비수와 측면 수비수, 미드필더까지 소화할 수 있는 다재다능한 멀티 플레이어 이기혁입니다. 안정적인 수비 능력과 뛰어난 패스 능력을 바탕으로 후방 빌드업에서 핵심적인 역할을 수행합니다.",78,65,85,78,82,80
lee_su_bin,이수빈,82,CM,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/이수빈.png,normal,"부드러운 볼 제어 능력과 넓은 시야, 그리고 안정적인 패스 공급으로 팀의 빌드업을 조율하는 전북 현대의 미드필더 이수빈입니다. 적극적인 공수 조율과 조용한 헌신으로 중원에 안정감을 불어넣습니다.",80,70,83,80,80,78
hwang_hee_chan,황희찬,84,LW,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/황희찬.png,special,우직한 돌파와 강인한 피지컬로 상대를 압도하며 '코리안 가이'라는 별명으로 프리미어리그를 폭격하는 국가대표 윙어 황희찬입니다. 폭발적인 가속도와 저돌적인 문전 침투로 득점을 노립니다.,88,85,72,82,38,79
song_min_kyu,송민규,83,LW,South Korea,https://flagcdn.com/w40/kr.png,JEONBUK,player/송민규.png,normal,뛰어난 볼 키핑 능력과 측면에서의 저돌적인 온더볼 플레이로 찬스를 창출하는 전북 현대의 핵심 공격수입니다. 탄탄한 피지컬을 바탕으로 등지는 플레이와 지능적인 연계에 강점이 있습니다.,81,82,78,85,45,77
lingard,린가드,86,LW,England,https://flagcdn.com/w40/gb-eng.png,FC SEOUL,player/린가드.png,special,"잉글랜드 국가대표와 맨체스터 유나이티드 출신의 월드스타로, FC 서울의 측면 공격 핵심 윙어입니다. 뛰어난 오프더볼 움직임과 창의적인 연계 플레이, 그리고 저돌적인 측면 돌파로 공격진에 활력을 불어넣습니다.",83,82,84,86,55,70
cesinha,세징야,85,CAM,Brazil,https://flagcdn.com/w40/br.png,DAEGU FC,player/세징야.webp,special,"대구 FC의 살아있는 전설이자 K리그 최고의 공격형 미드필더 세징야입니다. 압도적인 테크닉과 강력한 중거리 슛, 그리고 예리한 플레이메이킹 능력을 겸비했습니다.",83,86,85,86,42,75
mugosa,무고사,83,ST,Montenegro,https://flagcdn.com/w40/me.png,INCHEON UTD,player/무고사.png,normal,인천 유나이티드의 상징이자 K리그 최고의 스트라이커 무고사입니다. 탁월한 골 결정력과 높은 문전 집중력으로 어떠한 위치에서도 득점을 만들어내는 해결사입니다.,78,87,71,79,36,81
lee_dong_gook_99,이동국99,86,ST,South Korea,https://flagcdn.com/w40/kr.png,POHANG,player/이동국99.png,special,"1999년 K리그를 뒤흔든 '라이온 킹' 이동국의 파릇파릇한 젊은 시절 카드입니다. 리그 신인왕과 득점왕을 노리던 폭발적인 피지컬과 예리한 돌파력, 그리고 전매특허인 강력한 발리슛을 구사한 특급 공격수입니다.",87,88,81,72,35,83
kim_seung_gyu,김승규,87,GK,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/김승규.png,special,"대한민국 축구 국가대표팀의 베테랑 수문장이자 빌드업 축구의 핵심 골키퍼 김승규입니다. 뛰어난 반사신경과 안정적인 선방력은 물론, 정확한 패싱 능력을 바탕으로 후방 빌드업 전술을 주도하는 든든한 골키퍼입니다.",83,84,80,84,89,85
lee_han_beom,이한범,83,CB,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/이한범.png,special,"대한민국 수비의 미래를 짊어진 대형 센터백 이한범입니다. 압도적인 피지컬을 활용한 공중볼 장악과 타이트한 대인 마크가 돋보이며, 안정적인 패스 능력과 경기 리딩 능력까지 갖춘 육각형 수비수입니다.",79,50,75,72,83,82
seol_young_woo,설영우,83,RB,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/설영우.png,special,"대한민국 축구 국가대표팀의 핵심 풀백 설영우입니다. 지치지 않는 기동력과 안정적인 수비력은 물론, 날카로운 오버래핑과 정교한 크로스로 측면 공격에 큰 힘을 보태는 현대적인 측면 수비수입니다.",84,63,78,80,82,80
paik_seung_ho,백승호,84,CM,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/백승호.png,special,"바르셀로나 유스 출신의 뛰어난 테크닉과 자로 잰 듯한 킥력을 장착한 미드필더 백승호입니다. 넓은 시야와 침착한 경기 조율력, 그리고 상대 골문을 직접 노리는 날카로운 중거리 슈팅 능력을 지니고 있습니다.",80,79,84,84,75,78
lee_tae_seok,이태석,84,LB,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/이태석.png,special,"대한민국 국가대표팀(KOREA)의 좌측 측면을 든든하게 책임지는 지칠 줄 모르는 기동력의 윙백입니다. 빠른 오버랩핑과 날카로운 크로스, 영리한 수비 포지셔닝으로 공수 양면에서 맹활약하는 스페셜 풀백입니다.",85,68,78,81,80,78
ahn_jung_hwan,안정환,89,LW,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player/안정환.png,legend,"대한민국 축구 역사상 최고의 판타지스타이자 테크니션입니다. 2002년 한일 월드컵의 영웅으로 이탈리아전 결승 골을 비롯한 결정적인 경기마다 해결사 역할을 톡톡히 해냈으며, 감각적인 드리블과 우아한 볼 터치, 그리고 폭발적인 슈팅력으로 전 세계를 놀라게 한 레전드 윙어입니다.",86,91,84,90,35,75
lionel_messi,리오넬 메시,93,RW,Argentina,https://flagcdn.com/w40/ar.png,INTER MIAMI,player/메시.png,worldclass,"축구 역사상 가장 위대한 선수(G.O.A.T)로 꼽히는 리오넬 메시입니다. 신의 경지에 다다른 플레이메이킹, 경이로운 볼 컨트롤, 그리고 상대 수비를 완전히 무력화시키는 압도적인 시야와 득점력을 지닌 축구계의 살아있는 신화이자 월드클래스 거장입니다.",86,91,92,94,40,70
kim_moon_hwan,김문환,83,RB,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player2/김문환.webp,special,"대한민국 축구 국가대표팀의 지치지 않는 우측 풀백 김문환입니다. 왕성한 활동량을 바탕으로 한 헌신적인 수비와 폭발적인 오버래핑, 그리고 전방으로 공급하는 위협적인 얼리 크로스에 강점이 있는 스페셜 측면 수비수입니다.",85,62,77,79,81,78
yang_min_hyuk,양민혁,84,RW,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player2/양민혁.png,special,"대한민국 축구의 초신성이자 폭발적인 스피드와 저돌적인 드리블을 갖춘 공격수 양민혁입니다. 나이답지 않은 침착한 결정력과 예측 불가능한 돌파력으로 상대 측면 수비를 허무는 특급 윙어입니다.",88,80,78,84,38,68
lee_myung_jae,이명재,83,LB,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player2/이명재.webp,special,"대한민국 축구 국가대표팀과 울산 HD의 날카로운 킥력을 장착한 좌측 풀백 이명재입니다. 안정적인 수비 위치 선정과 상대 측면을 허무는 정교한 궤적의 크로스로 공수 양면에서 맹활약하는 스페셜 풀백입니다.",82,64,81,77,82,79
cristiano_ronaldo,크리스티아누 호날두,90,LW,Portugal,https://flagcdn.com/w40/pt.png,AL NASSR,player2/호날두.png,legend,"축구 역사상 가장 위대한 득점 기계이자 철저한 자기관리의 상징인 크리스티아누 호날두입니다. 압도적인 피지컬, 폭발적인 점프력을 활용한 높은 타점의 헤더, 그리고 양발과 머리를 가리지 않는 무결점 골 결정력으로 축구 역사에 수많은 대기록을 수립한 전설적인 윙어입니다.",90,89,82,88,35,78
byeon_jun_su,변준수,84,CB,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player2/변준수.png,special,"대한민국 축구 국가대표팀의 미래를 짊어질 차세대 대형 센터백 변준수입니다. 압도적인 피지컬을 활용한 제공권 장악력, 안정적인 대인 방어 능력, 그리고 빌드업의 시발점이 되는 정교한 패스 능력을 갖춘 스페셜 중앙 수비수입니다.",78,45,72,70,85,84
kaoru_mitoma,미토마,85,LW,Japan,https://flagcdn.com/w40/jp.png,BRIGHTON,player2/미토마.png,special,"독보적인 아웃프런트 킥과 정밀한 드리블 돌파로 잉글랜드 프리미어리그를 매료시킨 일본의 윙어 미토마입니다. 상대를 얼어붙게 만드는 타이밍을 뺏는 특유의 잔발 드리블과 날카로운 크로스로 브라이튼의 측면 공격을 지휘하는 스페셜 윙어입니다.",88,78,80,90,42,68
wataru_endo,엔도 와타루,85,CM,Japan,https://flagcdn.com/w40/jp.png,LIVERPOOL,player2/엔도와타루.png,special,"명가 리버풀 FC의 든든한 중원 방패이자 뛰어난 수비 지능을 보유한 일본의 미드필더 엔도 와타루입니다. 왕성한 활동량, 안정적인 세컨볼 획득 능력, 그리고 포백 보호 능력을 바탕으로 공수 밸런스를 조율하는 스페셜 미드필더입니다.",73,68,80,76,86,84
erling_haaland,홀란드,91,ST,Norway,https://flagcdn.com/w40/no.png,MANCHESTER CITY,player2/홀란드.webp,worldclass,"압도적인 폭발력과 가공할 만한 피지컬로 골문을 폭격하는 세계 최고의 스트라이커 홀란드입니다. 가공할 만한 스피드와 가공할 만한 슈팅 능력, 그리고 상대 수비진을 힘으로 짓누르는 압도적인 제공권으로 무수한 득점 기록을 갈아치우는 월드클래스 해결사입니다.",92,93,72,82,40,90
takumi_minamino,미나미노,85,CM,Japan,https://flagcdn.com/w40/jp.png,MONACO,player2/미나미노.png,special,"뛰어난 공간 침투와 연계 플레이, 그리고 날카로운 결정력을 갖춘 AS 모나코 소속의 일본 대표팀 공격형 미드필더 미나미노입니다. 공수 양면에서 높은 전술적 이해도를 발휘하며 기회를 창출하는 스페셜 미드필더입니다.",83,83,88,89,45,72
junya_ito,이토 준야,85,RW,Japan,https://flagcdn.com/w40/jp.png,REIMS,player2/이토준야.png,special,"폭발적인 주력과 상대 측면을 완전히 허무는 크로스 능력을 자랑하는 스타드 랭스 소속의 일본 대표팀 윙어 이토 준야입니다. 빠른 역습의 핵심 자원이자 저돌적인 드리블 돌파가 장점인 스페셜 윙어입니다.",91,78,83,85,40,70
cho_yu_min,조유민,83,CB,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player2/조유민.png,special,"강인한 제공권 장악력과 뛰어난 수비 리딩 능력을 바탕으로 대표팀 수비의 한 축을 담당하는 센터백 조유민입니다. 파이팅 넘치는 대인 마크와 세트피스 상황에서의 득점력까지 겸비한 스페셜 수비수입니다.",78,48,70,68,84,82
neymar,네이마르,89,LW,Brazil,https://flagcdn.com/w40/br.png,AL HILAL,player2/네이마르.png,legend,"화려한 드리블과 창의적인 플레이로 전 세계 축구팬들을 사로잡는 브라질의 리빙 레전드 공격수 네이마르입니다. 폭발적인 볼 컨트롤, 민첩한 페인트 동작, 그리고 날카로운 킥 능력으로 경기의 판도를 뒤흔드는 월드클래스 크랙입니다.",87,84,86,92,37,61
luka_modric,루카 모드리치,89,CM,Croatia,https://flagcdn.com/w40/hr.png,REAL MADRID,player2/모드리치.png,legend,"지치지 않는 체력과 환상적인 아웃프런트 패스, 완벽한 경기 조율로 발롱도르를 수상한 크로아티아의 중원 사령탑 루카 모드리치입니다. 뛰어난 축구 지능과 탈압박 능력으로 팀의 공수 밸런스를 조율하는 전설적인 미드필더입니다.",73,76,90,88,72,66
koo_ja_cheol,구자철,88,CM,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player2/구자철.png,special,"대한민국 중원의 지휘자이자 멀티 플레이어의 정석인 구자철입니다. 뛰어난 축구 지능, 날카로운 패싱력, 그리고 헌신적인 활동량으로 대표팀의 전성기를 이끌었던 전설적인 미드필더입니다.",80,85,89,86,78,84
na_sang_ho,나상호,88,LW,South Korea,https://flagcdn.com/w40/kr.png,KOREA,player2/나상호.png,special,"왕성한 활동량과 폭발적인 스피드를 무기로 전방 압박과 돌파를 이끄는 국가대표 윙어 나상호입니다. 지치지 않는 기동력과 날카로운 컷인 슛으로 상대 측면을 흔드는 해결사입니다.",91,86,83,88,48,78

